SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET
100214B,0.5213244557380676,0.5729729533195496,0.574986457824707,0.4160139262676239,7,8,6,16,16,2,1128,1125,844,722,722,305
100340A,0.64277583360672,0.7239057421684265,0.7722718715667725,0.43214985728263855,6,6,3,8,8,7,3281,3248,2899,3847,4138,1692
100391A,0.36902275681495667,0.3862452805042267,0.38324758410453796,0.3375754654407501,2,2,13,1,1,1,8893,8834,8821,2245,2245,1944
100190B,0.6988490223884583,0.7369881868362427,0.7275242209434509,0.6320346593856812,3,3,2,2,2,2,747,752,640,694,694,515
100142A,0.6163878440856934,0.6518375277519226,0.6477382183074951,0.5495877265930176,11,10,47,2,2,1,4113,4143,3188,2091,2091,1299
100162A,0.0,0.0,0.0,0.0,1,1,0,1,1,1,6,5,0,174,174,111
100357B,0.799540102481842,0.8683463335037231,0.9139984250068665,0.6162756085395813,12,6,146,1,1,5,11462,11403,8497,10368,11271,4971
100178A,0.7888922691345215,0.8212445378303528,0.8147554397583008,0.7306768894195557,2,2,4,2,2,3,1167,1138,1019,1356,1356,1064
100290A,0.9022981524467468,0.9026294946670532,0.9058427214622498,0.8984222412109375,13,10,246,14,14,12,80739,81198,78786,84578,84769,79792
100412B,0.8812196254730225,0.8532038927078247,0.944060206413269,0.8463947176933289,6,5,922,6,6,7,60815,61073,42623,48786,59074,35291
100404A,0.2763361632823944,0.3273784816265106,0.32805994153022766,0.17357002198696136,16,16,21,15,15,18,1174,1169,453,1233,1233,561
100357C,0.8081901669502258,0.8482030034065247,0.8473677635192871,0.7289998531341553,2,2,574,5,5,1,14154,14127,7833,18317,18317,10274
100379B,0.9288172721862793,0.9296422004699707,0.9374814033508301,0.9193282723426819,4,4,41,7,7,3,28052,28009,27044,25446,25831,23928
100173A,0.5939220786094666,0.6296296119689941,0.6529311537742615,0.49920541048049927,4,4,13,5,5,8,4940,4945,3973,8938,9179,5466
100111A,0.9404613375663757,0.9478556513786316,0.9491724967956543,0.924355685710907,5,6,412,5,5,6,39351,39441,33709,38644,38745,31980
100196A,0.5737656950950623,0.5418769717216492,0.6560693979263306,0.5233507752418518,24,24,84,22,22,21,36819,36779,33468,51356,61863,40020
100338C,0.023931624367833138,0.03333333507180214,0.03846153989434242,0.0,4,6,0,16,16,2,8,12,0,352,352,93
100355B,0.8773252367973328,0.8753435015678406,0.8916411399841309,0.8649910092353821,7,7,369,12,12,5,91540,91606,83508,102770,105729,92221
100128A,0.675438642501831,0.6666666865348816,0.6842105388641357,0.0,2,2,0,1,1,0,76,70,0,44,44,0
100157A,0.8614201545715332,0.8844135999679565,0.8898678421974182,0.8099790215492249,2,2,24,4,4,3,3046,3020,2373,2863,2882,1916
100257A,0.29941293597221375,0.3314105272293091,0.3319961130619049,0.23483216762542725,8,5,11,7,7,1,3024,3007,2102,13445,13445,5793
100202A,0.8312490582466125,0.8775887489318848,0.8804958462715149,0.7356626987457275,2,1,154,1,1,2,4954,4966,3194,5331,5360,3589
100288A,0.9474930763244629,0.9562892317771912,0.9584274888038635,0.9277624487876892,1,1,123,1,1,1,36086,36084,34333,34972,35141,31270
100248C,0.378839373588562,0.4451908469200134,0.4476054012775421,0.2437218278646469,25,25,32,43,43,10,6528,6470,4925,3297,3302,1287
100233A,0.588047444820404,0.609375,0.6181818246841431,0.5365853905677795,5,2,13,2,2,1,360,325,152,280,280,176
100308A,0.4759702682495117,0.6203904747962952,0.6141502261161804,0.19337016344070435,9,8,20,13,13,4,692,680,208,691,691,154
100209A,0.44808802008628845,0.5758683681488037,0.5666666626930237,0.20172910392284393,4,4,4,8,8,9,349,335,153,745,745,194
100405A,0.7844083905220032,0.7948333621025085,0.8163458704948425,0.7420459389686584,4,4,58,4,4,4,30901,30880,28590,27164,28242,23113
100121B,0.8850033283233643,0.8954979777336121,0.8959357142448425,0.8635762333869934,8,8,8,16,16,5,34236,34013,29237,31868,31927,25211
100329A,0.7544736862182617,0.8146107196807861,0.8226504325866699,0.6261599063873291,6,6,47,6,6,9,5912,5854,4218,6791,6861,3649
100214C,0.5400100946426392,0.5608815550804138,0.562534749507904,0.496614009141922,9,9,6,24,24,5,956,940,630,859,859,256
