SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET
100214B,0.3649410307407379,0.4176146686077118,0.37154150009155273,0.30566686391830444,34,37,24,16,16,2,2003,2314,1442,722,722,305
100340A,0.6685790419578552,0.7550439238548279,0.7937574982643127,0.4569356441497803,15,14,8,8,8,7,4232,4192,3823,3847,4138,1692
100391A,0.2733149230480194,0.2888702154159546,0.2862260937690735,0.24484848976135254,27,23,23,1,1,1,13236,13386,13731,2245,2245,1944
100190B,0.664586067199707,0.7044392228126526,0.6858457922935486,0.6034732460975647,8,9,2,2,2,2,1018,1044,867,694,694,515
100142A,0.49035680294036865,0.5184719562530518,0.5157185792922974,0.4368799030780792,25,31,45,2,2,1,5867,5925,4547,2091,2091,1299
100162A,0.11274626106023788,0.1855670064687729,0.15267175436019897,0.0,7,6,5,1,1,1,117,88,5,174,174,111
100357B,0.7771363854408264,0.841363787651062,0.8878496885299683,0.6021957397460938,34,29,112,1,1,5,12773,12679,9785,10368,11271,4971
100178A,0.7721559405326843,0.8076645135879517,0.790229856967926,0.718573272228241,4,4,12,2,2,3,1410,1428,1235,1356,1356,1064
100290A,0.8961778283119202,0.9011397957801819,0.9016321897506714,0.8857614398002625,35,21,207,14,14,12,95980,96764,94790,84578,84769,79792
100412B,0.8552542328834534,0.8323214054107666,0.9281556606292725,0.805285632610321,9,7,528,6,6,7,66011,66002,49089,48786,59074,35291
100404A,0.2995297610759735,0.35820895433425903,0.3608768880367279,0.17950350046157837,36,39,23,15,15,18,2318,2325,1010,1233,1233,561
100357C,0.8166837692260742,0.8598539233207703,0.8575132489204407,0.7326842546463013,25,22,584,5,5,1,17831,17939,11296,18317,18317,10274
100379B,0.8732097148895264,0.878932535648346,0.8850022554397583,0.8556942939758301,10,8,21,7,7,3,31960,32031,31496,25446,25831,23928
100173A,0.6278164386749268,0.6683818101882935,0.6891725659370422,0.5258949398994446,12,13,24,5,5,8,6221,6254,5289,8938,9179,5466
100111A,0.9158744812011719,0.9275231957435608,0.9297277331352234,0.8903724551200867,13,12,225,5,5,6,43534,43535,38422,38644,38745,31980
100196A,0.6692991852760315,0.6491786241531372,0.7654117345809937,0.5933073163032532,37,35,103,22,22,21,54202,54396,50975,51356,61863,40020
100338C,0.16691160202026367,0.25912410020828247,0.24161073565483093,0.0,22,17,0,16,16,2,196,244,0,352,352,93
100355B,0.8791664242744446,0.8813594579696655,0.8961573243141174,0.859982430934906,16,9,290,12,12,5,107428,107767,100362,102770,105729,92221
100128A,0.1081308126449585,0.12071330845355988,0.09554831683635712,0.0,18,20,8,1,1,0,685,877,623,44,44,0
100157A,0.8217483162879944,0.8414219617843628,0.8585320115089417,0.7652909755706787,39,33,33,4,4,3,3607,3494,2809,2863,2882,1916
100257A,0.4973221719264984,0.545863687992096,0.5587441921234131,0.3873586654663086,20,30,24,7,7,1,6996,6940,4554,13445,13445,5793
100202A,0.8349692225456238,0.8751620650291443,0.8751951456069946,0.7545504570007324,17,11,149,1,1,2,5467,5529,3663,5331,5360,3589
100288A,0.9244348406791687,0.9371585249900818,0.9381475448608398,0.8979983925819397,4,3,28,1,1,1,38785,38890,37474,34972,35141,31270
100248C,0.3488815724849701,0.41753414273262024,0.41836485266685486,0.21074572205543518,50,53,56,43,43,10,8999,8917,7349,3297,3302,1287
100233A,0.526606023311615,0.5367646813392639,0.5567010045051575,0.4863523542881012,6,7,13,2,2,1,536,496,227,280,280,176
100308A,0.47769951820373535,0.6021126508712769,0.5985915660858154,0.23239436745643616,18,16,17,13,13,4,1013,1013,414,691,691,154
100209A,0.4610728323459625,0.5641361474990845,0.5472702980041504,0.2718120813369751,13,14,6,8,8,9,783,757,402,745,745,194
100405A,0.7326343059539795,0.7443244457244873,0.7694780826568604,0.6841004490852356,9,8,9,4,4,4,40054,39565,38568,27164,28242,23113
100121B,0.8468801379203796,0.8635315299034119,0.8625342845916748,0.8145745396614075,21,14,14,16,16,5,40090,40251,35525,31868,31927,25211
100329A,0.7576601505279541,0.8233785033226013,0.8326100707054138,0.6169918179512024,11,14,23,6,6,9,7239,7196,5732,6791,6861,3649
100214C,0.4725469648838043,0.5208517909049988,0.5185840725898743,0.3782051205635071,26,28,11,24,24,5,1395,1401,992,859,859,256
